id,Номер Рейса,Что случилсоь,Наличие пострадавши,Поврежденные модули,Критично для текущего рейса?,id_Flight
848,525-58-6716,posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,0,ut massa quis augue luctus tincidunt nulla mollis molestie lorem,0,848
849,295-94-4570,dapibus nulla suscipit ligula in lacus,1,diam neque vestibulum eget vulputate ut ultrices,0,849
850,246-62-1960,faucibus orci luctus et ultrices posuere,1,vel nisl duis ac nibh fusce,0,850
851,267-52-9855,ut ultrices vel augue vestibulum ante ipsum primis in,0,volutpat quam pede lobortis ligula sit amet eleifend,0,851
852,529-85-2010,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,1,quis turpis sed ante vivamus tortor duis mattis egestas,1,852
853,540-56-3745,ut volutpat sapien arcu sed augue aliquam erat volutpat,0,orci luctus,0,853
854,389-37-5268,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,0,rhoncus aliquam lacus morbi quis tortor,1,854
855,519-63-1151,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,1,nulla suscipit ligula in lacus curabitur at ipsum,0,855
856,220-05-3273,interdum in ante vestibulum ante ipsum primis in faucibus,1,quam pharetra magna ac,1,856
857,824-14-3156,ut volutpat sapien arcu sed augue aliquam erat,0,consequat in consequat ut nulla,1,857
858,195-84-1266,amet justo morbi ut odio cras mi pede malesuada in,0,interdum,1,858
859,728-77-5877,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,1,in imperdiet,0,859
860,700-38-5476,at turpis donec posuere metus vitae ipsum aliquam,1,semper sapien a libero nam,0,860
861,583-69-9300,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse,1,amet erat nulla tempus vivamus in,1,861
862,824-69-0634,sapien sapien non mi integer ac neque,1,nisl duis ac nibh,1,862
863,896-03-9430,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet,0,at velit vivamus vel nulla eget,1,863
864,419-53-6979,nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,0,lectus aliquam sit amet diam in magna bibendum imperdiet,0,864
865,733-32-6202,risus semper porta volutpat quam pede lobortis ligula sit,0,eget congue eget semper rutrum,0,865
866,845-57-0980,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,0,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit,1,866
867,753-56-5821,nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,0,tortor,0,867
868,198-11-3426,sapien a libero nam dui proin,0,erat nulla tempus vivamus in felis eu,1,868
869,483-76-0831,pellentesque viverra pede ac diam cras,0,eu sapien cursus vestibulum,1,869
870,655-22-6098,duis bibendum felis sed interdum venenatis turpis,1,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,0,870
871,821-28-9230,pede ullamcorper augue a suscipit nulla,1,cursus urna,1,871
872,556-71-0874,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,1,phasellus id sapien in sapien iaculis congue vivamus metus,0,872
873,707-04-0542,et ultrices posuere cubilia curae donec pharetra,1,faucibus orci luctus,1,873
874,204-72-6683,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam,1,nulla quisque arcu libero rutrum ac lobortis vel dapibus,1,874
875,754-36-4383,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel,1,eros viverra eget,0,875
876,256-27-4072,duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel,0,tristique est et tempus semper,1,876
877,497-41-7682,mattis pulvinar nulla pede ullamcorper augue a suscipit,1,ipsum primis in faucibus orci luctus et ultrices,1,877
878,109-75-7896,ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,1,eu massa donec dapibus duis at velit eu est,1,878
879,746-65-7578,vestibulum quam sapien varius ut blandit non interdum in ante,1,eu interdum eu tincidunt,0,879
880,579-54-1245,est risus auctor sed tristique in tempus sit amet sem fusce,0,luctus cum sociis natoque,1,880
881,686-37-4735,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,0,mi integer ac neque duis bibendum morbi,0,881
882,375-07-0457,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,0,accumsan,1,882
883,368-76-8092,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,1,convallis nulla neque libero convallis eget eleifend,1,883
884,813-65-4345,tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,1,libero rutrum ac lobortis vel dapibus at diam,0,884
885,607-51-7937,suspendisse potenti cras in purus eu magna vulputate luctus,0,dolor vel est donec odio justo sollicitudin ut suscipit a,1,885
886,746-69-7985,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,0,id,0,886
887,145-69-9832,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis,0,sed vestibulum sit amet cursus id turpis,1,887
888,575-02-0036,massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,1,sed nisl nunc rhoncus dui vel sem sed,1,888
889,524-07-2721,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,0,in porttitor pede justo eu,0,889
890,118-68-9277,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus,1,volutpat in congue etiam justo,1,890
891,894-62-6876,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,0,venenatis turpis enim blandit,1,891
892,847-11-9951,nulla quisque arcu libero rutrum ac lobortis,1,at ipsum ac tellus semper interdum mauris ullamcorper purus sit,1,892
893,632-27-0191,amet diam in magna bibendum imperdiet nullam orci pede venenatis,1,id lobortis convallis tortor risus,1,893
894,120-88-3225,quam sollicitudin vitae consectetuer eget rutrum at lorem,0,cursus id turpis integer aliquet massa id,1,894
895,349-09-5967,eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in,1,lectus,1,895
896,878-47-6411,id ornare imperdiet sapien urna pretium nisl ut volutpat,0,elementum nullam varius,1,896
897,122-47-4339,nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,1,cursus id turpis integer aliquet massa id lobortis convallis tortor,1,897
898,167-05-7022,nam congue risus semper porta volutpat quam,1,felis eu sapien cursus,0,898
899,574-28-1827,quam a odio in hac habitasse platea dictumst,1,dictumst,0,899
900,340-83-1738,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,1,faucibus cursus urna ut,1,900
901,341-52-4983,sagittis nam congue risus semper porta,0,hac habitasse platea dictumst,1,901
902,533-39-4990,amet justo morbi ut odio cras mi pede malesuada in,1,id pretium iaculis,0,902
903,876-57-2853,et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,1,tortor quis turpis,0,903
904,455-35-1191,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus,0,mus,1,904
905,208-54-6476,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,0,nam ultrices libero non mattis,0,905
906,576-24-9302,curae duis faucibus accumsan odio curabitur convallis duis consequat,1,id mauris vulputate elementum nullam varius nulla,0,906
907,163-59-1108,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper,1,sit amet diam in magna bibendum imperdiet,0,907
908,182-95-4274,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,1,luctus nec molestie,0,908
909,831-07-6235,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,1,commodo placerat praesent blandit nam nulla integer pede justo lacinia,1,909
910,784-55-3411,congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,1,nisi eu orci mauris lacinia sapien quis libero,1,910
911,492-30-4320,ac nibh fusce lacus purus aliquet at feugiat,1,non,1,911
912,360-91-0315,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien,1,vestibulum quam sapien varius,0,912
913,532-62-9471,odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,1,eget eros elementum pellentesque quisque porta volutpat,0,913
914,154-07-1857,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,0,at ipsum ac tellus semper interdum mauris ullamcorper purus sit,1,914
915,616-48-5266,ipsum dolor sit amet consectetuer,1,nibh quisque id,0,915
916,586-36-2441,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas,1,duis at velit eu est congue elementum in hac,0,916
917,458-64-9728,pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,0,phasellus sit amet erat nulla tempus vivamus in felis eu,0,917
918,281-56-3693,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,0,vestibulum sed magna at nunc commodo placerat praesent,1,918
919,585-02-8868,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede,0,mattis nibh ligula nec sem,1,919
920,101-48-5013,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,1,justo in hac habitasse platea,0,920
921,505-99-1478,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,1,nec,1,921
922,739-70-1034,in consequat ut nulla sed accumsan felis ut at dolor quis odio,1,eu interdum,0,922
923,147-66-5096,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,1,tempor turpis nec euismod scelerisque quam,1,923
924,201-83-1268,velit id pretium iaculis diam,0,orci luctus et,1,924
925,435-81-2507,nibh ligula nec sem duis aliquam convallis nunc proin at,1,ipsum primis in faucibus orci luctus et ultrices,0,925
926,176-34-4680,faucibus cursus urna ut tellus nulla ut erat id mauris,1,justo maecenas rhoncus aliquam lacus morbi quis,0,926
927,436-61-0073,eget tincidunt eget tempus vel pede morbi,1,semper porta,1,927
928,573-08-8600,aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,0,montes nascetur ridiculus mus etiam vel,1,928
929,370-40-3980,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,0,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam,1,929
930,554-61-3842,pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,0,libero quis orci nullam molestie nibh,0,930
931,386-59-9186,mi sit amet lobortis sapien sapien,1,lobortis convallis tortor risus dapibus augue vel accumsan,0,931
932,296-64-6523,in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,0,nulla ut erat id mauris vulputate elementum,1,932
933,821-44-0526,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,1,quam turpis adipiscing lorem vitae mattis nibh ligula,0,933
934,137-85-1048,gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada,1,vestibulum ante ipsum primis in,0,934
935,315-47-5353,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,1,leo maecenas pulvinar lobortis est phasellus sit,1,935
936,523-86-0335,sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1,sapien ut nunc vestibulum ante,1,936
937,477-42-7629,suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,1,faucibus orci luctus et ultrices posuere cubilia curae nulla,1,937
938,605-17-0369,molestie sed justo pellentesque viverra pede ac diam cras,0,lacus purus aliquet at,0,938
939,172-84-5354,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,0,natoque penatibus,0,939
940,740-27-9156,ac neque duis bibendum morbi non,1,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue,0,940
941,292-92-2125,erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,0,interdum venenatis turpis enim blandit mi in,1,941
942,265-70-3225,id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,0,turpis enim blandit mi,0,942
943,618-79-0070,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,0,consequat varius integer ac leo pellentesque,0,943
944,474-57-4176,blandit lacinia erat vestibulum sed magna at nunc commodo placerat,1,quam turpis adipiscing lorem vitae mattis,0,944
945,121-73-1431,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed,0,diam in magna bibendum imperdiet nullam orci pede venenatis,1,945
946,366-92-7160,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,0,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,0,946
947,744-08-6433,ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,0,sed ante vivamus tortor duis mattis egestas,0,947
948,408-95-8705,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,1,duis,0,948
949,538-74-7137,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,1,mi pede malesuada in imperdiet et,1,949
950,619-26-8292,at dolor quis odio consequat varius integer ac,1,sapien arcu sed augue aliquam,0,950
951,613-89-1609,sed vestibulum sit amet cursus,1,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,0,951
952,420-96-4514,mauris viverra diam vitae quam suspendisse potenti nullam,0,parturient montes nascetur ridiculus mus etiam vel augue,1,952
953,128-26-4048,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,1,purus sit amet,0,953
954,369-53-3230,purus phasellus in felis donec,0,pede libero,1,954
955,523-25-5181,sed ante vivamus tortor duis mattis egestas metus,1,id nisl venenatis lacinia aenean sit amet,1,955
956,199-93-6518,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,0,leo rhoncus sed vestibulum sit,1,956
957,829-06-8102,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,1,purus phasellus in,1,957
958,238-48-4433,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,1,sit amet lobortis sapien sapien non mi integer,0,958
959,632-56-2300,in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,1,hac habitasse platea dictumst maecenas ut massa quis,1,959
960,271-08-1434,fusce lacus purus aliquet at feugiat non,1,montes nascetur ridiculus mus,0,960
961,339-13-3435,in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,0,ultrices posuere cubilia curae duis faucibus accumsan odio,0,961
962,732-64-3216,sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,1,faucibus orci luctus et ultrices posuere cubilia curae mauris viverra,1,962
963,894-15-2658,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,0,cursus,0,963
964,279-35-7298,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,0,ipsum,0,964
965,192-79-2975,enim sit amet nunc viverra,0,maecenas pulvinar,1,965
966,421-58-9092,vulputate justo in blandit ultrices enim lorem,0,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate,1,966
967,817-67-5342,purus eu magna vulputate luctus cum sociis natoque penatibus et,0,aliquet,0,967
968,325-09-6414,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,1,quis turpis eget,0,968
969,756-71-3588,congue diam id ornare imperdiet sapien urna pretium,0,id ligula suspendisse ornare consequat lectus in,0,969
970,152-04-9549,enim leo rhoncus sed vestibulum sit amet cursus,1,ante vel ipsum praesent blandit lacinia erat vestibulum,0,970
971,214-51-8394,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,1,dapibus,0,971
972,330-68-3938,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,1,massa volutpat convallis,1,972
973,552-58-2433,fusce posuere felis sed lacus morbi sem mauris,1,consequat morbi a ipsum integer,0,973
974,763-46-7898,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,1,dolor vel est donec odio justo,0,974
975,555-47-4905,viverra diam vitae quam suspendisse potenti nullam,0,platea dictumst maecenas ut,1,975
976,348-72-1073,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,1,risus semper porta volutpat quam pede lobortis,1,976
977,311-42-8349,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,0,dolor vel est donec odio justo,1,977
978,313-82-3377,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,1,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,0,978
979,228-49-1006,at velit eu est congue,1,nibh in quis justo maecenas,0,979
980,229-30-0411,eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,0,venenatis,1,980
981,853-62-1367,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,0,vitae nisi,1,981
982,494-99-7320,suspendisse potenti in eleifend quam a odio in hac,1,non sodales sed tincidunt eu,1,982
983,383-35-4371,orci nullam molestie nibh in lectus pellentesque at,0,lobortis convallis,0,983
984,769-65-9274,cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,0,tincidunt eu felis fusce posuere,0,984
985,820-10-6509,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,0,fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,1,985
986,558-06-7041,aliquam non mauris morbi non,0,morbi,0,986
987,524-92-3474,sit amet diam in magna bibendum,0,lobortis vel dapibus,1,987
988,855-56-9074,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,0,lacinia sapien quis libero nullam,1,988
989,644-59-6337,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,1,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,0,989
990,697-43-4094,dui luctus rutrum nulla tellus in,0,nam congue risus semper porta,1,990
991,177-53-1278,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,0,sapien dignissim vestibulum vestibulum ante,0,991
992,662-55-6996,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus,1,diam erat fermentum justo nec condimentum neque sapien,1,992
993,766-85-5751,mi pede malesuada in imperdiet et,0,elementum ligula vehicula consequat morbi a ipsum integer a,0,993
994,766-40-7562,non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue,0,ipsum praesent,1,994
995,556-56-3117,non ligula pellentesque ultrices phasellus id sapien,1,sapien placerat,0,995
996,576-28-8271,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,1,a feugiat et eros,0,996
997,742-11-4007,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,0,etiam pretium iaculis justo in hac,0,997
998,292-89-3945,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,0,eu felis fusce posuere felis sed,0,998
999,485-73-3817,eu felis fusce posuere felis sed lacus morbi sem,0,non interdum in ante vestibulum ante ipsum,1,999
1000,239-61-9689,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,1,ipsum integer a nibh in quis justo maecenas rhoncus,0,1000
